district,mandal,season,crop,records,total_normal_area,total_actual_area,average_normal_area,average_actual_area,cultivation_share
Adilabad,Adilabad (Rural),Rabi,Gross areas,3,2040.0,1599.0,680.0,533.0,0.4941285537700865
Adilabad,Adilabad (Rural),Rabi,Bengalgram,1,537.0,750.0,537.0,750.0,0.23176761433868975
Adilabad,Adilabad (Rural),Rabi,Bengal gram,2,980.0,425.0,490.0,212.5,0.13133498145859085
Adilabad,Adilabad (Rural),Rabi,Jowar,3,208.0,209.0,69.33333333333333,69.66666666666667,0.0645859085290482
Adilabad,Adilabad (Rural),Rabi,Groundnut,2,88.0,176.0,44.0,88.0,0.054388133498145856
Adilabad,Adilabad (Rural),Rabi,Wheat,3,57.0,48.0,19.0,16.0,0.014833127317676144
Adilabad,Adilabad (Rural),Rabi,Maize,3,14.0,15.0,4.666666666666667,5.0,0.0046353522867737945
Adilabad,Adilabad (Rural),Rabi,Chillies,3,9.0,11.0,3.0,3.6666666666666665,0.003399258343634116
Adilabad,Adilabad (Rural),Rabi,Tabacco,2,1.0,3.0,0.5,1.5,0.000927070457354759
Adilabad,Adilabad (Rural),Rabi,Black gram,3,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Castor,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Coriander,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Cotton,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Cow gram,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Green gram,3,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Ground nut,1,28.0,0.0,28.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Horsegram,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Mesta,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Onion,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Onions,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Other Food Crops,2,40.0,0.0,20.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Other Non Food Crops,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Other Non-Food Crops,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Other Oil Seeds,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Other oil Seeds,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Paddy,1,5.0,0.0,5.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Paddy Irrigated,2,4.0,0.0,2.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Paddy Rainfed,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Potato,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Red gram,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Redgram,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Safflower,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Seasamum,1,3.0,0.0,3.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Seasumum,2,6.0,0.0,3.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Soybean,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Sugarcane,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Sunflower,3,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Tobacco,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Total Non food crops,1,31.0,0.0,31.0,0.0,0.0
Adilabad,Adilabad (Rural),Rabi,Turmeric,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Gross areas,3,9.0,42.0,3.0,14.0,0.5
Adilabad,Adilabad (Urban),Rabi,Other Food Crops,2,2.0,20.0,1.0,10.0,0.23809523809523808
Adilabad,Adilabad (Urban),Rabi,Bengal gram,2,1.0,12.0,0.5,6.0,0.14285714285714285
Adilabad,Adilabad (Urban),Rabi,Groundnut,2,0.0,4.0,0.0,2.0,0.047619047619047616
Adilabad,Adilabad (Urban),Rabi,Jowar,3,0.0,2.0,0.0,0.6666666666666666,0.023809523809523808
Adilabad,Adilabad (Urban),Rabi,Paddy Irrigated,2,0.0,2.0,0.0,1.0,0.023809523809523808
Adilabad,Adilabad (Urban),Rabi,Chillies,3,0.0,1.0,0.0,0.3333333333333333,0.011904761904761904
Adilabad,Adilabad (Urban),Rabi,Maize,3,0.0,1.0,0.0,0.3333333333333333,0.011904761904761904
Adilabad,Adilabad (Urban),Rabi,Bengalgram,1,1.0,0.0,1.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Black gram,3,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Castor,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Coriander,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Cotton,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Cow gram,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Green gram,3,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Ground nut,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Horsegram,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Mesta,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Onion,2,1.0,0.0,0.5,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Onions,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Other Non Food Crops,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Other Non-Food Crops,2,4.0,0.0,2.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Other Oil Seeds,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Other oil Seeds,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Paddy,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Paddy Rainfed,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Potato,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Red gram,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Redgram,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Safflower,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Seasamum,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Seasumum,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Soybean,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Sugarcane,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Sunflower,3,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Tabacco,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Tobacco,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Total Non food crops,1,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Turmeric,2,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad (Urban),Rabi,Wheat,3,0.0,0.0,0.0,0.0,0.0
Adilabad,Adilabad R,Kharif,Cotton,3,33062.0,29734.0,11020.666666666666,9911.333333333334,0.35224432255695215
Adilabad,Adilabad R,Kharif,Gross areas,2,30560.0,28169.0,15280.0,14084.5,0.3337045241846635
Adilabad,Adilabad R,Kharif,Gross Area Sown,1,16377.0,14562.0,16377.0,14562.0,0.17250897373627286
Adilabad,Adilabad R,Kharif,Red gram,2,4729.0,5314.0,2364.5,2657.0,0.06295238885005865
Adilabad,Adilabad R,Kharif,Red Gram,1,2046.0,2550.0,2046.0,2550.0,0.03020861715612524
Adilabad,Adilabad R,Kharif,Soyabean,1,1088.0,1545.0,1088.0,1545.0,0.01830286804165235
Adilabad,Adilabad R,Kharif,Soybean,2,2708.0,1331.0,1354.0,665.5,0.015767713503844195
