year,season,district,mandal,crop,normal_area,actual_area
2016-2017,Kharif,Mancherial,Jannaram,Paddy,3083.0,2875.0
2016-2017,Kharif,Mancherial,Mancherial,Paddy,1152.0,2350.0
2016-2017,Kharif,Mancherial,Dandepalle,Paddy,2944.0,7500.0
2016-2017,Kharif,Mancherial,Luxettipet,Paddy,1900.0,3410.0
2016-2017,Kharif,Mancherial,Chennur,Paddy,2738.0,2850.0
2016-2017,Kharif,Mancherial,Kotapalle,Paddy,1735.0,1720.0
2016-2017,Kharif,Mancherial,Jaipur,Paddy,3097.0,3410.0
2016-2017,Kharif,Mancherial,Mandamarri,Paddy,685.0,975.0
2016-2017,Kharif,Mancherial,Kasipet,Paddy,379.0,450.0
2016-2017,Kharif,Mancherial,Tandur,Paddy,824.0,848.0
2016-2017,Kharif,Mancherial,Bellampalle,Paddy,794.0,692.0
2016-2017,Kharif,Mancherial,Bhimini,Paddy,1254.0,2230.0
2016-2017,Kharif,Mancherial,Nennal,Paddy,1269.0,1975.0
2016-2017,Kharif,Mancherial,Vemanpalle,Paddy,1261.0,1410.0
2016-2017,Kharif,Mancherial,Jannaram,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Mancherial,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Dandepalle,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Luxettipet,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Chennur,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Kotapalle,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Jaipur,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Mandamarri,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Kasipet,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Tandur,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Bellampalle,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Bhimini,Jowar,1.0,0.0
2016-2017,Kharif,Mancherial,Nennal,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Vemanpalle,Jowar,0.0,0.0
2016-2017,Kharif,Mancherial,Jannaram,Maize,174.0,35.0
2016-2017,Kharif,Mancherial,Mancherial,Maize,17.0,78.0
2016-2017,Kharif,Mancherial,Dandepalle,Maize,59.0,60.0
2016-2017,Kharif,Mancherial,Luxettipet,Maize,59.0,55.0
2016-2017,Kharif,Mancherial,Chennur,Maize,135.0,140.0
2016-2017,Kharif,Mancherial,Kotapalle,Maize,96.0,85.0
2016-2017,Kharif,Mancherial,Jaipur,Maize,42.0,92.0
2016-2017,Kharif,Mancherial,Mandamarri,Maize,37.0,32.0
2016-2017,Kharif,Mancherial,Kasipet,Maize,126.0,12.0
2016-2017,Kharif,Mancherial,Tandur,Maize,93.0,46.0
2016-2017,Kharif,Mancherial,Bellampalle,Maize,72.0,80.0
2016-2017,Kharif,Mancherial,Bhimini,Maize,75.0,0.0
2016-2017,Kharif,Mancherial,Nennal,Maize,44.0,0.0
2016-2017,Kharif,Mancherial,Vemanpalle,Maize,61.0,0.0
2016-2017,Kharif,Mancherial,Jannaram,Green Gram,150.0,298.0
2016-2017,Kharif,Mancherial,Mancherial,Green Gram,17.0,125.0
2016-2017,Kharif,Mancherial,Dandepalle,Green Gram,30.0,0.0
2016-2017,Kharif,Mancherial,Luxettipet,Green Gram,6.0,82.0
2016-2017,Kharif,Mancherial,Chennur,Green Gram,27.0,40.0
2016-2017,Kharif,Mancherial,Kotapalle,Green Gram,23.0,36.0
2016-2017,Kharif,Mancherial,Jaipur,Green Gram,64.0,243.0
2016-2017,Kharif,Mancherial,Mandamarri,Green Gram,56.0,208.0
2016-2017,Kharif,Mancherial,Kasipet,Green Gram,66.0,142.0
2016-2017,Kharif,Mancherial,Tandur,Green Gram,88.0,74.0
2016-2017,Kharif,Mancherial,Bellampalle,Green Gram,1.0,210.0
2016-2017,Kharif,Mancherial,Bhimini,Green Gram,22.0,345.0
2016-2017,Kharif,Mancherial,Nennal,Green Gram,9.0,45.0
2016-2017,Kharif,Mancherial,Vemanpalle,Green Gram,31.0,40.0
2016-2017,Kharif,Mancherial,Jannaram,Black Gram,11.0,22.0
2016-2017,Kharif,Mancherial,Mancherial,Black Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Dandepalle,Black Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Luxettipet,Black Gram,0.0,6.0
2016-2017,Kharif,Mancherial,Chennur,Black Gram,13.0,28.0
2016-2017,Kharif,Mancherial,Kotapalle,Black Gram,1.0,20.0
2016-2017,Kharif,Mancherial,Jaipur,Black Gram,4.0,0.0
2016-2017,Kharif,Mancherial,Mandamarri,Black Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Kasipet,Black Gram,0.0,3.0
2016-2017,Kharif,Mancherial,Tandur,Black Gram,4.0,26.0
2016-2017,Kharif,Mancherial,Bellampalle,Black Gram,0.0,10.0
2016-2017,Kharif,Mancherial,Bhimini,Black Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Nennal,Black Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Vemanpalle,Black Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Jannaram,Red Gram,223.0,282.0
2016-2017,Kharif,Mancherial,Mancherial,Red Gram,75.0,295.0
2016-2017,Kharif,Mancherial,Dandepalle,Red Gram,119.0,785.0
2016-2017,Kharif,Mancherial,Luxettipet,Red Gram,75.0,470.0
2016-2017,Kharif,Mancherial,Chennur,Red Gram,133.0,290.0
2016-2017,Kharif,Mancherial,Kotapalle,Red Gram,35.0,342.0
2016-2017,Kharif,Mancherial,Jaipur,Red Gram,101.0,914.0
2016-2017,Kharif,Mancherial,Mandamarri,Red Gram,104.0,354.0
2016-2017,Kharif,Mancherial,Kasipet,Red Gram,360.0,790.0
2016-2017,Kharif,Mancherial,Tandur,Red Gram,244.0,530.0
2016-2017,Kharif,Mancherial,Bellampalle,Red Gram,185.0,285.0
2016-2017,Kharif,Mancherial,Bhimini,Red Gram,487.0,954.0
2016-2017,Kharif,Mancherial,Nennal,Red Gram,71.0,254.0
2016-2017,Kharif,Mancherial,Vemanpalle,Red Gram,61.0,123.0
2016-2017,Kharif,Mancherial,Jannaram,Cow Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Mancherial,Cow Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Dandepalle,Cow Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Luxettipet,Cow Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Chennur,Cow Gram,4.0,5.0
2016-2017,Kharif,Mancherial,Kotapalle,Cow Gram,0.0,3.0
2016-2017,Kharif,Mancherial,Jaipur,Cow Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Mandamarri,Cow Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Kasipet,Cow Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Tandur,Cow Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Bellampalle,Cow Gram,1.0,0.0
2016-2017,Kharif,Mancherial,Bhimini,Cow Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Nennal,Cow Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Vemanpalle,Cow Gram,0.0,0.0
2016-2017,Kharif,Mancherial,Jannaram,Other pulses,35.0,23.0
2016-2017,Kharif,Mancherial,Mancherial,Other pulses,0.0,0.0
2016-2017,Kharif,Mancherial,Dandepalle,Other pulses,1.0,0.0
2016-2017,Kharif,Mancherial,Luxettipet,Other pulses,10.0,0.0
2016-2017,Kharif,Mancherial,Chennur,Other pulses,32.0,9.0
2016-2017,Kharif,Mancherial,Kotapalle,Other pulses,0.0,5.0
2016-2017,Kharif,Mancherial,Jaipur,Other pulses,0.0,0.0
2016-2017,Kharif,Mancherial,Mandamarri,Other pulses,0.0,20.0
2016-2017,Kharif,Mancherial,Kasipet,Other pulses,0.0,0.0
